"Date","Time","Horse","Course","Fin Pos","SP","SP Num","BSP","IR Low","%DiffLOW","IR High","%DiffHIGH","Evening Price","Breakfast Price","Morning Price","BFPlaceSP","Race Type"
"04/05/2016","17:30","Fairy Theatre","Wetherby","2","4/1","4.00","6.72","2.00","-70.24","660.00","9721.43","10.00","10.00","8.00","2.10","Hurdle"
"05/05/2016","17:30","Escape Paradise","Clonmel","1","7/4","1.75","2.99","1.01","-66.22","18.00","502.01","2.50","2.25","2.50","1.84","Turf"
"05/05/2016","17:50","Willem","Wincanton","3","9/2","4.50","6.63","2.10","-68.33","1000.00","14982.96","4.50","4.00","4.50","2.66","Hurdle"
"05/05/2016","17:50","Kentucky Star","Wincanton","FE","Evens","1.00","2.26","1.98","-12.39","1000.00","44147.79","2.75","2.50","2.38","1.55","Hurdle"
"05/05/2016","18:00","Invincible Lia","Clonmel","1","100/30","3.33","5.20","1.01","-80.58","13.50","159.62","6.00","7.00","5.00","2.12","Turf"
"05/05/2016","18:00","Creme De La","Clonmel","2","4/5","0.80","1.88","1.40","-25.53","1000.00","53091.49","1.73","1.73","1.73","1.27","Turf"
"05/05/2016","18:10","Gurkha Brave","Carlisle","1","11/10","1.10","2.18","1.01","-53.67","3.20","46.79","3.75","2.63","2.50","1.52","Chase"
"05/05/2016","18:10","Silk Hall","Carlisle","PU","7/1","7.00","9.40","8.60","-8.51","1000.00","10538.30","11.00","11.00","11.00","3.75","Chase"
"05/05/2016","18:20","Rainy City","Wincanton","1","1/12","0.08","1.09","1.01","-7.34","1.09","0.00","1.05","1.11","1.11","1.05","Hurdle"
"05/05/2016","18:30","Simannka","Clonmel","1","4/6","0.67","1.75","1.01","-42.29","2.70","54.29","2.25","1.73","1.67","1.26","Turf"
"05/05/2016","18:30","Flirt","Clonmel","3","6/1","6.00","8.18","4.10","-49.88","1000.00","12124.94","4.50","6.00","7.50","2.36","Turf"
"05/05/2016","19:10","Basford Ben","Carlisle","1","3/1","3.00","4.70","1.01","-78.51","5.30","12.77","4.00","5.00","5.00","2.22","Chase"
"05/05/2016","19:10","Looking Well","Carlisle","2","11/10","1.10","2.12","1.47","-30.66","1000.00","47069.81","3.50","2.75","2.63","1.67","Chase"
"06/05/2016","14:20","Closest Friend","Market Rasen","2","7/4","1.75","2.92","1.31","-55.14","1000.00","34146.58","2.38","2.38","2.50","1.50","Hurdle"
"06/05/2016","14:20","Mystic Sky","Market Rasen","1","7/4","1.75","2.86","1.01","-64.69","4.80","67.83","2.75","2.88","2.50","1.50","Hurdle"
"06/05/2016","16:30","Cloudy Bob","Market Rasen","PU","3/1","3.00","4.80","4.40","-8.33","1000.00","20733.33","4.50","4.50","4.00","2.30","Chase"
"06/05/2016","17:35","Next Bend","Cork","2","2/1","2.00","3.43","1.56","-54.52","1000.00","29054.52","3.75","4.50","5.50","1.28","Hurdle"
"06/05/2016","17:35","Lofgren","Cork","1","4/6","0.67","1.69","1.01","-40.24","2.50","47.93","3.00","3.25","2.63","1.14","Hurdle"
"06/05/2016","19:20","Little Avon","Nottingham","1","5/2","2.50","3.86","1.01","-73.83","11.00","184.97","5.00","4.50","3.50","1.50","Turf"
"07/05/2016","13:55","Visionary","Ascot","3","17/2","8.50","13.75","2.78","-79.78","1000.00","7172.73","7.00","10.00","10.00","4.50","Turf"
"07/05/2016","15:15","Cotillion","Nottingham","2","11/4","2.75","3.49","1.37","-60.74","440.00","12507.45","6.00","6.50","3.50","1.34","Turf"
"07/05/2016","15:15","Goldslinger","Nottingham","3","13/8","1.63","2.20","1.37","-37.73","1000.00","45354.55","4.50","5.00","3.00","1.28","Turf"
"07/05/2016","15:55","Don't Touch","Haydock","1","6/4","1.50","2.62","1.01","-61.45","7.00","167.18","2.25","2.25","2.38","1.46","Turf"
"07/05/2016","17:05","Kreb's Cycle","Lingfield","3","5/4","1.25","2.52","2.18","-13.49","1000.00","39582.54","2.88","2.25","2.38","1.45","Turf"
"07/05/2016","18:00","Iftikaar","Nottingham","4","3/1","3.00","4.80","1.43","-70.21","1000.00","20733.33","6.00","5.00","4.50","1.63","Turf"
"07/05/2016","18:00","Roger Thorpe","Nottingham","3","3/1","3.00","4.51","3.15","-30.16","1000.00","22072.95","7.00","6.00","3.25","1.68","Turf"
"07/05/2016","18:20","Kilfinichen Bay","Warwick","PU","4/1","4.00","5.67","3.25","-42.68","1000.00","17536.68","2.88","5.00","5.00","2.32","Chase"
"07/05/2016","18:50","Culture De Sivola","Warwick","4","4/1","4.00","5.26","5.10","-3.04","1000.00","18911.41","5.00","5.00","5.50","2.58","Hurdle"
"07/05/2016","18:50","Rejaah","Warwick","1","100/30","3.33","5.54","1.01","-81.77","10.00","80.51","3.75","3.25","3.25","2.69","Hurdle"
"07/05/2016","19:50","Double Chocolate","Warwick","1","9/4","2.25","3.55","1.01","-71.55","5.10","43.66","3.75","3.25","3.75","2.04","Chase"
"08/05/2016","14:00","Red Tornado","Ludlow","1","1/10","0.10","1.10","1.01","-8.18","1.27","15.45","1.80","1.57","1.45","1.05","Hurdle"
