"Date","Time","Horse","Course","Fin Pos","SP","SP Num","BSP","IR Low","%DiffLOW","IR High","%DiffHIGH","LTO Distance To Winner (Same Code)","Evening Price","Breakfast Price","Morning Price","BFPlaceSP","Race Type"
"06/09/2016","18:40","Tangolan","Perth","2","9/4","2.25","3.37","1.54","-54.30","560.00","16517.21","61.00","5.00","6.00","4.00","1.71","Chase"
"10/09/2016","16:45","Soundstrings","Musselburgh","4","15/8","1.88","3.15","2.50","-20.63","1000.00","31646.03","0.00","2.50","2.38","2.50","1.88","Turf"
"10/09/2016","17:55","Mujaamil","Musselburgh","10","13/2","6.50","9.72","9.60","-1.23","1000.00","10188.07","0.00","6.00","7.50","6.50","3.31","Turf"
"10/09/2016","18:30","Novalina","Musselburgh","1","9/4","2.25","3.49","1.01","-71.06","4.60","31.81","9.75","3.75","4.00","4.00","2.12","Turf"
"13/09/2016","18:15","Oasis Moon","Carlisle","2","15/2","7.50","10.50","3.50","-66.67","200.00","1804.76","2.30","6.00","6.00","6.00","2.61","Turf"
"15/09/2016","13:30","Hushood","Ayr","4","9/2","4.50","6.75","4.00","-40.74","1000.00","14714.81","0.00","6.00","5.00","5.00","3.10","Turf"
"15/09/2016","14:35","Steal The Scene","Ayr","11","4/1","4.00","5.10","4.90","-3.92","1000.00","19507.84","5.75","6.00","6.50","6.50","2.28","Turf"
"16/09/2016","13:30","Braztime","Ayr","6","9/1","9.00","13.50","5.00","-62.96","1000.00","7307.41","1.25","5.50","5.50","8.00","3.08","Turf"
"16/09/2016","15:40","Northern Thunder","Ayr","9","14/1","14.00","19.98","9.20","-53.95","1000.00","4905.01","0.00","9.00","17.00","21.00","5.21","Turf"
"16/09/2016","15:40","Blue Suede","Ayr","7","11/1","11.00","12.33","4.30","-65.13","1000.00","8010.30","1.25","12.00","15.00","15.00","4.26","Turf"
"17/09/2016","14:00","Stormy Clouds","Ayr","11","8/1","8.00","11.05","6.60","-40.27","1000.00","8949.77","5.30","11.00","11.00","11.00","3.30","Turf"
"17/09/2016","15:10","Bahaarah","Ayr","10","25/1","25.00","49.02","20.00","-59.20","1000.00","1939.98","6.55","11.00","19.00","29.00","9.80","Turf"
"21/09/2016","14:20","Our Cat","Perth","1","11/8","1.38","2.58","1.01","-60.85","3.00","16.28","0.00","4.00","2.75","2.88","1.58","Hurdle"
"21/09/2016","14:55","Crown Hill","Perth","3","2/1","2.00","3.35","1.25","-62.69","1000.00","29750.75","8.25","7.00","5.00","5.50","1.96","Chase"
"21/09/2016","15:30","No Win No Fee","Perth","6","7/4","1.75","2.90","2.26","-22.07","1000.00","34382.76","29.60","3.00","2.63","2.88","1.31","Hurdle"
"21/09/2016","16:05","Tangolan","Perth","4","11/2","5.50","7.10","1.78","-74.93","1000.00","13984.51","1.50","8.00","6.00","6.50","2.34","Chase"
"21/09/2016","17:15","Milrow","Perth","1","9/4","2.25","3.48","1.01","-70.98","3.90","12.07","9.75","6.00","4.00","4.00","1.57","Hurdle"
"22/09/2016","15:50","Crown Hill","Perth","1","15/2","7.50","8.81","1.01","-88.54","310.00","3418.73","3.75","9.00","11.00","10.00","1.92","Hurdle"
"22/09/2016","16:25","Three Of A Kind","Perth","PU","33/1","33.00","77.18","85.00","10.13","1000.00","1195.67","18.15","26.00","41.00","41.00","5.84","Chase"
"22/09/2016","17:30","Athy River","Perth","4","14/1","14.00","17.00","12.00","-29.41","1000.00","5782.35","0.00","7.50","9.00","9.00","4.50","NHF"
"24/09/2016","16:40","Dutch Destiny","Hamilton","3","2/1","2.00","3.39","1.80","-46.90","1000.00","29398.53","13.95","3.50","2.88","2.88","1.73","Turf"
"01/10/2016","15:15","Lexington Sky","Redcar","UR","100/1","100.00","250.00","140.00","-44.00","860.00","244.00","17.45","51.00","41.00","81.00","46.99","Turf"
"01/10/2016","15:15","Repton","Redcar","15","11/2","5.50","7.00","5.40","-22.86","500.00","7042.86","6.40","5.50","8.00","6.50","2.91","Turf"
"08/10/2016","16:35","Royale Knight","Hexham","5","3/1","3.00","5.73","2.54","-55.67","1000.00","17352.01","4.70","7.50","6.00","4.50","2.02","Hurdle"
"22/10/2016","14:00","Brio Conti","Kelso","FE","8/11","0.73","1.86","1.81","-2.69","1000.00","53663.44","0.00","2.88","2.10","2.10","1.16","Hurdle"
"22/10/2016","14:35","Warriors Tale","Kelso","3","13/8","1.63","2.77","1.76","-36.46","1000.00","36001.08","0.00","2.50","2.20","2.20","1.77","Chase"
"24/10/2016","14:00","Spiritofthegames","Ayr","1","3/1","3.00","4.10","1.01","-75.37","4.20","2.44","0.00","2.63","2.25","2.38","1.76","Hurdle"
"24/10/2016","14:30","Ckalco Des Loges","Ayr","3","5/2","2.50","4.30","2.20","-48.84","1000.00","23155.81","0.00","2.25","2.25","2.38","2.19","Hurdle"
"24/10/2016","16:40","Seelateralligator","Ayr","11","9/2","4.50","5.80","4.40","-24.14","1000.00","17141.38","16.75","4.50","3.25","3.50","2.40","NHF"
"29/10/2016","16:20","Throthethatch","Ayr","4","10/11","0.90","2.02","1.97","-2.48","1000.00","49404.95","0.00","2.75","2.75","2.88","1.52","Chase"
