"Date","Time","Horse","Course","Fin Pos","SP","SP Num","BSP","IR Low","%DiffLOW","IR High","%DiffHIGH","Evening Price","Breakfast Price","Morning Price","BFPlaceSP","Race Type"
"09/05/2016","18:30","Tony Star","Towcester","1","1/4","0.25","1.36","1.01","-25.74","1.56","14.71","1.67","1.57","1.57","0.00","Chase"
"09/05/2016","19:00","Gamain","Towcester","4","3/1","3.00","4.40","1.60","-63.64","1000.00","22627.27","3.00","3.75","4.00","2.35","Chase"
"09/05/2016","19:40","Merry Night","Roscommon","4","11/4","2.75","4.10","3.60","-12.20","460.00","11119.51","4.50","3.25","3.25","1.58","NHF"
"10/05/2016","13:50","Boa Island","Sedgefield","2","6/4","1.50","2.54","1.40","-44.88","1000.00","39270.08","2.50","2.50","2.50","1.39","Hurdle"
"10/05/2016","15:40","Moabit","Wincanton","1","4/11","0.36","1.41","1.01","-28.37","1.45","2.84","1.67","1.73","1.67","1.08","Hurdle"
"10/05/2016","16:10","Thundering Home","Wincanton","2","3/1","3.00","4.92","1.51","-69.31","160.00","3152.03","5.00","4.00","4.00","1.61","Hurdle"
"10/05/2016","17:15","Sors","Tipperary","4","4/1","4.00","5.00","3.85","-23.00","1000.00","19900.00","5.00","4.50","5.00","2.02","Turf"
"10/05/2016","17:25","Tap Tap Boom","Chepstow","2","4/1","4.00","5.68","1.41","-75.18","1000.00","17505.63","9.00","6.50","5.00","1.85","Turf"
"10/05/2016","18:55","Zauffaly","Chepstow","2","11/8","1.38","2.55","2.38","-6.67","1000.00","39115.69","2.88","3.25","2.38","1.12","Turf"
"10/05/2016","19:25","Double Czech","Chepstow","3","4/5","0.80","1.81","1.56","-13.81","1000.00","55148.62","7.00","6.50","3.50","1.10","Turf"
"10/05/2016","19:45","Elusive Approach","Tipperary","2","10/11","0.90","2.08","1.38","-33.65","1000.00","47976.92","2.38","1.83","1.83","1.22","Turf"
"11/05/2016","17:05","Oh Grace","Naas","4","2/1","2.00","3.08","2.88","-6.49","1000.00","32367.53","3.00","2.88","3.00","1.37","Turf"
"11/05/2016","17:40","Psychedelic Funk","Naas","1","8/11","0.73","1.76","1.01","-42.61","2.04","15.91","2.20","2.25","2.20","1.21","Turf"
"11/05/2016","18:10","Blood Moon","Naas","9","7/2","3.50","5.12","3.30","-35.55","1000.00","19431.25","5.00","4.33","3.75","1.97","Turf"
"11/05/2016","18:40","Zhukova","Naas","1","11/10","1.10","2.37","1.01","-57.38","4.60","94.09","2.75","3.00","2.88","1.55","Turf"
"12/05/2016","14:50","Warriors Tale","Perth","1","30/100","0.30","1.33","1.01","-24.06","1.35","1.50","1.91","1.53","1.45","1.05","Chase"
"12/05/2016","17:25","Maxi Chop","Fontwell","1","4/5","0.80","1.95","1.01","-48.21","2.20","12.82","3.50","2.10","1.91","1.31","Chase"
"12/05/2016","17:35","Tullyglush","Perth","1","8/11","0.73","1.88","1.01","-46.28","4.40","134.04","5.00","4.50","5.50","0.00","NHF"
"12/05/2016","18:00","Polisky","Fontwell","2","Evens","1.00","1.98","1.90","-4.04","1000.00","50405.05","3.25","2.25","2.10","1.36","Chase"
"12/05/2016","19:30","Hurricane Ben","Tipperary","1","4/6","0.67","1.82","1.01","-44.51","2.08","14.29","1.91","1.95","1.73","1.20","Chase"
"12/05/2016","20:05","Marienstar","Tipperary","9","11/2","5.50","7.00","5.00","-28.57","1000.00","14185.71","6.00","8.00","7.50","2.56","NHF"
"13/05/2016","16:15","Ulysses","Newbury","1","4/11","0.36","1.38","1.01","-26.81","1.48","7.25","2.38","1.73","1.57","1.10","Turf"
"13/05/2016","16:25","Daphne","Newmarket","1","9/4","2.25","3.35","1.01","-69.85","5.40","61.19","2.75","2.63","2.75","1.72","Turf"
"13/05/2016","17:00","Secret Art","Newmarket","7","9/2","4.50","6.42","4.00","-37.69","1000.00","15476.32","5.00","5.50","6.00","2.26","Turf"
"13/05/2016","17:35","Delegate","Kilbeggan","1","5/4","1.25","2.54","1.01","-60.24","6.20","144.09","2.50","2.38","2.38","1.29","Hurdle"
"13/05/2016","17:45","Lomu","Hamilton","1","11/10","1.10","2.23","1.01","-54.71","5.10","128.70","2.63","2.25","2.05","1.61","Turf"
"13/05/2016","20:50","Carrig Cathal","Kilbeggan","3","6/4","1.50","2.56","1.90","-25.78","670.00","26071.88","3.25","2.38","2.38","1.53","NHF"
"14/05/2016","15:05","Dexcite","Bangor-On-Dee","1","2/9","0.22","1.28","1.01","-21.09","1.35","5.47","1.20","1.22","1.20","1.07","Hurdle"
"14/05/2016","17:15","King Crimson","Newmarket","2","11/2","5.50","7.64","1.28","-83.25","1000.00","12989.01","8.00","9.00","8.00","2.73","Turf"
"14/05/2016","17:50","Tara View","Bangor-On-Dee","1","7/4","1.75","2.96","1.01","-65.88","8.00","170.27","4.00","3.00","2.75","1.33","NHF"
"15/05/2016","13:50","Perfect Summer","Stratford","1","9/4","2.25","3.85","1.01","-73.77","4.20","9.09","2.63","2.50","2.63","1.66","Hurdle"
"15/05/2016","14:40","Our Kylie","Market Rasen","1","4/1","4.00","5.90","1.01","-82.88","6.80","15.25","3.50","3.25","3.50","2.80","Hurdle"
"15/05/2016","15:20","Bondi Beach","Navan","1","1/9","0.11","1.11","1.01","-9.01","1.81","63.06","1.40","1.33","1.33","1.02","Turf"
"15/05/2016","17:25","Black Ivory","Market Rasen","3","11/2","5.50","7.61","1.53","-79.89","1000.00","13040.60","7.00","4.50","5.00","2.70","NHF"
"15/05/2016","17:35","Burlington Bert","Stratford","1","11/10","1.10","2.13","1.01","-52.58","2.44","14.55","2.25","1.83","1.83","1.31","NHF"
"16/05/2016","13:50","Rusumaat","Redcar","1","6/5","1.20","2.32","1.01","-56.47","2.38","2.59","2.63","3.00","2.25","1.25","Turf"
"16/05/2016","14:20","Show Palace","Redcar","1","7/2","3.50","5.48","1.01","-81.57","7.20","31.39","5.00","5.50","5.00","1.80","Turf"
"16/05/2016","14:40","Mister Sunshine","Brighton","1","8/13","0.61","1.66","1.01","-39.16","1.69","1.81","1.57","1.50","1.44","1.14","Turf"
"16/05/2016","14:50","Brockholes","Redcar","2","100/30","3.33","4.93","1.76","-64.30","130.00","2536.92","5.50","5.00","4.50","1.68","Turf"
"16/05/2016","17:05","Archimento","Redcar","2","1/2","0.50","1.57","1.30","-17.20","1000.00","63594.27","2.38","2.00","1.95","1.12","Turf"
"16/05/2016","17:50","Bright New Dawn","Killarney","3","6/4","1.50","2.53","1.73","-31.62","1000.00","39425.69","3.50","2.88","2.25","1.46","Hurdle"
"16/05/2016","18:00","Fear Or Favour","Windsor","1","7/4","1.75","2.86","1.01","-64.69","3.75","31.12","3.25","3.25","2.88","1.36","Turf"
"16/05/2016","18:30","Tiggaliscious","Windsor","3","9/4","2.25","3.58","2.50","-30.17","1000.00","27832.96","2.75","3.50","3.00","1.17","Turf"
"16/05/2016","19:00","Legendary Lunch","Windsor","2","1/5","0.20","1.20","1.10","-8.33","1000.00","83233.33","1.80","1.73","1.57","1.07","Turf"
"16/05/2016","19:40","Musdam","Leicester","1","6/1","6.00","7.25","1.01","-86.07","25.00","244.83","6.00","7.00","5.00","1.86","Turf"
"17/05/2016","14:10","Hakeem","Nottingham","1","1/16","0.06","1.06","1.01","-4.72","1.09","2.83","1.67","1.57","1.36","1.02","Turf"
"17/05/2016","14:20","Raven's Corner","Lingfield","2","6/5","1.20","2.26","1.16","-48.67","500.00","22023.89","2.75","2.88","3.50","1.22","A/W"
"17/05/2016","15:40","Atreus","Newcastle","11","6/1","6.00","8.30","6.60","-20.48","1000.00","11948.19","6.00","5.50","5.50","2.91","A/W"
"17/05/2016","17:35","Bamako Du Chatelet","Lingfield","1","2/1","2.00","3.35","1.01","-69.85","5.40","61.19","4.50","4.50","3.25","1.64","A/W"
"18/05/2016","14:10","Midnight Tour","Warwick","2","1/2","0.50","1.55","1.01","-34.84","55.00","3448.39","2.10","1.73","1.61","1.07","Hurdle"
"18/05/2016","15:10","Funding Deficit","Ayr","4","4/1","4.00","6.10","3.10","-49.18","430.00","6949.18","6.00","6.50","7.00","2.72","Turf"
"18/05/2016","15:30","Sharjah","Bath","1","15/8","1.88","3.05","1.01","-66.89","12.00","293.44","7.00","8.50","3.25","1.45","Turf"
"18/05/2016","16:55","Anonymous Lady","Ayr","1","3/1","3.00","4.14","1.01","-75.60","9.40","127.05","4.33","4.50","4.33","1.82","Turf"
"18/05/2016","17:15","Zeeoneandonly","Bath","2","5/2","2.50","4.03","1.75","-56.58","1000.00","24713.90","4.00","3.75","3.50","1.63","Turf"
"18/05/2016","18:35","A Likely Story","Dundalk","3","4/6","0.67","1.87","1.52","-18.72","1000.00","53375.94","3.00","2.38","2.50","1.12","A/W"
"19/05/2016","13:50","Afandem","Goodwood","3","1/2","0.50","1.55","1.51","-2.58","1000.00","64416.13","2.38","1.83","1.83","1.09","Turf"
"19/05/2016","14:40","American Legend","Worcester","4","11/4","2.75","4.35","1.72","-60.46","1000.00","22888.51","5.50","6.00","6.00","1.47","Chase"
"19/05/2016","15:15","First Drift","Worcester","1","4/9","0.44","1.30","1.01","-22.31","1.65","26.92","3.50","7.00","4.50","1.03","NHF"
"19/05/2016","15:30","Bedrock","Goodwood","10","3/1","3.00","4.00","3.70","-7.50","1000.00","24900.00","7.00","6.00","4.00","1.81","Turf"
"19/05/2016","17:30","Simiel","Clonmel","3","3/1","3.00","4.40","2.68","-39.09","870.00","19672.73","5.00","3.50","3.75","1.81","Hurdle"
