"Date","Time","Horse","Course","Fin Pos","SP","SP Num","BSP","IR Low","%DiffLOW","IR High","%DiffHIGH","Evening Price","Breakfast Price","Morning Price","BFPlaceSP","Race Type"
"07/05/2016","16:20","Pincode","Wexford","3","7/1","7.00","9.67","3.20","-66.91","1000.00","10241.26","10.00","10.00","10.00","2.74","Turf"
"08/05/2016","13:55","Cosy Club","Leopardstown","5","12/1","12.00","16.30","8.00","-50.92","1000.00","6034.97","9.00","21.00","21.00","3.49","Turf"
"08/05/2016","14:30","Wild Rover","Ludlow","1","3/1","3.00","4.91","1.01","-79.43","55.00","1020.16","6.50","6.00","5.00","2.30","Chase"
"08/05/2016","16:00","Mr Lando","Plumpton","2","2/1","2.00","3.00","1.74","-42.00","1000.00","33233.33","3.75","3.75","3.50","1.60","Hurdle"
"08/05/2016","16:15","Jayo Time","Ludlow","FE","9/2","4.50","5.80","4.60","-20.69","1000.00","17141.38","6.50","5.00","4.50","1.78","Chase"
"08/05/2016","17:10","Three Star General","Leopardstown","4","8/1","8.00","11.49","9.00","-21.67","1000.00","8603.22","11.00","9.00","10.00","2.23","Turf"
"09/05/2016","15:20","Silver Alliance","Brighton","5","7/1","7.00","8.87","7.60","-14.32","1000.00","11173.96","11.00","8.00","9.00","3.21","Turf"
"09/05/2016","16:30","Cambodia","Wolverhampton","1","5/6","0.83","2.04","1.01","-50.49","2.60","27.45","2.63","1.91","1.95","1.19","A/W"
"10/05/2016","16:40","Present Man","Wincanton","2","4/6","0.67","1.69","1.21","-28.40","1000.00","59071.60","1.73","1.83","1.83","1.10","Chase"
"10/05/2016","17:10","Never Complain","Wincanton","2","3/1","3.00","4.10","1.75","-57.32","1000.00","24290.24","6.00","5.00","4.33","2.36","Chase"
"10/05/2016","17:45","Evening Hush","Tipperary","1","3/1","3.00","4.97","1.01","-79.68","7.00","40.85","3.50","3.50","3.00","1.85","Turf"
"10/05/2016","18:25","Ixelles Diamond","Chepstow","4","6/1","6.00","8.20","1.93","-76.46","1000.00","12095.12","7.50","6.50","5.00","3.65","Turf"
"11/05/2016","13:50","Marshgate Lane","Lingfield","1","9/4","2.25","3.61","1.01","-72.02","5.60","55.12","3.75","4.00","3.50","2.01","A/W"
"11/05/2016","14:40","George Dryden","York","12","8/1","8.00","11.19","10.50","-6.17","570.00","4993.83","9.00","10.00","9.00","2.72","Turf"
"11/05/2016","15:15","Twilight Son","York","5","4/1","4.00","5.00","4.60","-8.00","1000.00","19900.00","4.50","4.50","4.50","2.05","Turf"
"11/05/2016","15:25","Star Of The Stage","Lingfield","1","8/1","8.00","11.05","1.01","-90.86","20.00","81.00","13.00","12.00","13.00","3.34","A/W"
"11/05/2016","16:10","Fountains Blossom","Worcester","1","5/2","2.50","3.61","1.01","-72.02","3.80","5.26","4.00","6.50","4.00","1.50","Hurdle"
"11/05/2016","17:20","Prendergast Hill","York","19","9/2","4.50","6.15","4.00","-34.96","250.00","3965.04","8.00","8.50","7.00","2.06","Turf"
"11/05/2016","18:30","The Graduate","Bath","2","7/4","1.75","3.05","2.64","-13.44","1000.00","32686.89","7.50","9.00","7.00","1.31","Turf"
"11/05/2016","19:20","Naburn","Perth","6","12/1","12.00","14.50","12.50","-13.79","1000.00","6796.55","15.00","13.00","15.00","3.89","Hurdle"
"11/05/2016","19:30","El Torito","Bath","3","2/1","2.00","3.29","1.55","-52.89","1000.00","30295.14","3.50","4.33","3.50","1.70","Turf"
"11/05/2016","19:40","Kellstorm","Naas","2","Evens","1.00","2.09","1.91","-8.61","1000.00","47746.89","2.88","2.88","2.88","1.42","Turf"
"12/05/2016","14:25","Intermittent","Salisbury","4","11/4","2.75","3.95","3.75","-5.06","1000.00","25216.46","4.00","4.00","3.50","1.70","Turf"
"12/05/2016","16:05","Boycie","Salisbury","3","3/1","3.00","3.59","2.40","-33.15","1000.00","27755.15","6.00","7.50","6.00","1.43","Turf"
"12/05/2016","16:15","Lady Macapa","York","8","11/2","5.50","6.67","4.00","-40.03","1000.00","14892.50","15.00","11.00","7.00","2.38","Turf"
"12/05/2016","16:35","Dancing Star","Salisbury","1","7/2","3.50","4.90","1.01","-79.39","18.00","267.35","5.50","6.00","4.50","2.08","Turf"
"12/05/2016","16:40","Baltic Voyager","Tipperary","4","4/1","4.00","6.95","3.80","-45.32","1000.00","14288.49","9.00","6.50","5.00","1.60","Hurdle"
"12/05/2016","16:55","Blazing Whale","Fontwell","2","8/13","0.61","1.67","1.21","-27.54","1000.00","59780.24","2.88","2.00","1.91","1.25","Chase"
"12/05/2016","17:00","Willie Hall","Perth","4","100/30","3.33","5.40","3.60","-33.33","1000.00","18418.52","5.00","5.50","5.00","1.92","Chase"
"12/05/2016","18:55","Winter Magic","Tipperary","1","6/1","6.00","8.40","1.01","-87.98","8.60","2.38","7.00","6.50","8.00","2.80","Chase"
"12/05/2016","19:05","Joker Choker","Fontwell","2","11/2","5.50","7.20","1.31","-81.81","1000.00","13788.89","4.50","5.00","5.00","1.97","Chase"
"13/05/2016","15:30","Thetis","York","3","7/2","3.50","4.65","2.22","-52.26","1000.00","21405.38","3.25","3.75","4.00","1.51","Turf"
"13/05/2016","16:05","Clever Cookie","York","1","5/2","2.50","3.93","1.01","-74.30","9.00","129.01","5.50","5.50","6.00","1.90","Turf"
"13/05/2016","18:05","Borderlinedecision","Kilbeggan","2","15/8","1.88","3.32","1.49","-55.12","1000.00","30020.48","6.00","5.00","3.50","1.49","Hurdle"
"13/05/2016","18:50","Jacbequick","Hamilton","2","2/1","2.00","3.40","2.02","-40.59","210.00","6076.47","4.00","4.00","3.50","1.71","Turf"
"13/05/2016","18:55","Power Struggle","Dundalk","2","7/1","7.00","9.00","3.20","-64.44","1000.00","11011.11","6.00","7.50","8.00","3.55","A/W"
"13/05/2016","19:55","Ormskirk","Hamilton","6","7/1","7.00","9.19","6.00","-34.71","1000.00","10781.39","5.00","4.50","5.50","2.71","Turf"
"13/05/2016","21:05","Set To Fire","Dundalk","11","15/2","7.50","12.72","11.00","-13.52","1000.00","7761.64","8.00","7.50","8.00","3.87","A/W"
"14/05/2016","14:30","Silk Hall","Bangor-On-Dee","3","12/1","12.00","16.35","14.00","-14.37","1000.00","6016.21","15.00","29.00","29.00","3.05","Chase"
"14/05/2016","14:45","Carnachy","Newbury","3","7/2","3.50","4.50","2.02","-55.11","1000.00","22122.22","5.00","4.50","5.00","1.95","Turf"
"14/05/2016","17:30","Wicked Willy","Uttoxeter","3","6/1","6.00","8.64","5.00","-42.13","1000.00","11474.07","8.00","8.50","6.50","2.16","Hurdle"
"14/05/2016","17:35","Sinfonietta","Newbury","4","7/1","7.00","9.39","2.22","-76.36","860.00","9058.68","7.00","7.50","8.50","3.45","Turf"
"14/05/2016","18:00","Coco Des Champs","Uttoxeter","7","12/1","12.00","16.00","6.20","-61.25","1000.00","6150.00","9.00","9.00","11.00","4.80","Hurdle"
"15/05/2016","14:10","Film Director","Market Rasen","3","6/4","1.50","2.68","2.46","-8.21","1000.00","37213.43","3.25","3.00","2.63","1.23","Hurdle"
"15/05/2016","14:30","Tranquil Tracy","Ripon","7","16/1","16.00","15.19","7.00","-53.92","1000.00","6483.28","10.00","15.00","15.00","2.80","Turf"
