"Date","Time","Horse","Course","Fin Pos","SP","SP Num","BSP","IR Low","%DiffLOW","IR High","%DiffHIGH","LTO Distance To Winner (Same Code)","Evening Price","Breakfast Price","Morning Price","BFPlaceSP","Race Type"
"15/07/2016","16:05","Very Dashing","Nottingham","1","10/1","10.00","13.50","1.01","-92.52","28.00","107.41","0.75","6.50","6.50","11.00","3.13","Turf"
"15/07/2016","19:00","Icefall","Pontefract","1","16/1","16.00","25.00","1.01","-95.96","75.00","200.00","25.40","7.00","10.00","10.00","5.81","Turf"
"16/07/2016","14:10","Kiruna Peak","Newmarket","1","5/2","2.50","4.00","1.03","-74.25","34.00","750.00","4.50","4.00","4.00","3.25","1.64","Turf"
"18/07/2016","18:25","Eadaoins Pet","Ballinrobe","7","4/1","4.00","5.50","4.90","-10.91","1000.00","18081.82","2.30","4.33","4.33","5.00","2.04","Turf"
"20/07/2016","15:00","Dewan","Catterick","2","5/2","2.50","3.70","1.50","-59.46","1000.00","26927.03","5.00","5.00","6.00","6.00","1.85","Turf"
"20/07/2016","15:10","Pink Martini","Bath","8","12/1","12.00","15.43","14.00","-9.27","1000.00","6380.88","2.55","6.00","11.00","11.00","4.10","Turf"
"20/07/2016","16:40","The Greedy Boy","Bath","7","11/8","1.38","2.54","2.28","-10.24","1000.00","39270.08","7.85","3.50","3.25","2.63","1.39","Turf"
"22/07/2016","17:35","Grand Coalition","Down Royal","3","5/2","2.50","3.92","2.46","-37.24","1000.00","25410.20","5.00","3.00","2.88","2.50","1.34","Turf"
"26/07/2016","14:45","Quiet Moment","Beverley","3","11/4","2.75","4.01","3.25","-18.95","1000.00","24837.66","1.00","2.63","2.50","2.25","1.59","Turf"
"27/07/2016","15:00","All The Answers","Galway","1","100/30","3.33","5.44","1.01","-81.43","9.00","65.44","26.25","5.50","5.50","5.50","1.52","Hurdle"
"27/07/2016","20:50","Ramblow","Leicester","8","10/1","10.00","13.67","6.80","-50.26","390.00","2752.96","14.70","4.50","5.50","6.00","4.54","Turf"
"28/07/2016","13:10","Desert Sensation","Stratford","6","6/1","6.00","9.10","5.60","-38.46","1000.00","10889.01","6.00","7.00","8.00","8.00","2.78","Hurdle"
"30/07/2016","16:35","Squats","Newmarket","4","5/2","2.50","3.61","3.45","-4.43","1000.00","27600.83","1.50","2.50","2.63","2.50","1.93","Turf"
"01/08/2016","16:45","Novalina","Ripon","1","6/1","6.00","7.92","1.01","-87.25","8.20","3.54","12.00","3.75","6.50","6.50","3.30","Turf"
"01/08/2016","20:00","Pc Dixon","Windsor","4","20/1","20.00","32.77","9.40","-71.32","1000.00","2951.57","6.00","7.00","15.00","15.00","10.00","Turf"
"02/08/2016","17:40","Birthplace","Roscommon","9","6/4","1.50","2.53","1.43","-43.48","1000.00","39425.69","0.00","2.25","2.00","2.00","1.43","Hurdle"
"03/08/2016","13:50","Lightoller","Brighton","2","9/4","2.25","3.63","2.00","-44.90","1000.00","27448.21","3.50","4.33","4.50","4.50","1.67","Turf"
"03/08/2016","17:50","Iconic Belle","Yarmouth","5","5/2","2.50","3.88","3.55","-8.51","1000.00","25673.20","1.25","3.25","3.00","3.00","2.00","Turf"
"03/08/2016","18:30","Big Ego","Sligo","6","4/1","4.00","5.27","3.90","-26.00","1000.00","18875.33","12.90","5.00","6.00","6.00","2.80","Turf"
"03/08/2016","18:40","Fire Palace","Kempton","1","4/1","4.00","6.00","1.01","-83.17","38.00","533.33","7.65","4.50","5.00","5.00","1.80","A/W"
"07/08/2016","14:10","Angel Down","Windsor","1","5/4","1.25","2.51","1.01","-59.76","2.98","18.73","1.80","3.50","2.75","2.10","1.31","Turf"
"09/08/2016","17:10","Spin Top","Lingfield","4","9/2","4.50","5.71","4.70","-17.69","200.00","3402.63","4.40","7.00","12.00","7.00","2.05","Turf"
"10/08/2016","16:50","Exoplanet Blue","Salisbury","1","4/1","4.00","4.85","1.01","-79.18","5.30","9.28","12.00","5.00","6.00","5.50","2.41","Turf"
"11/08/2016","14:10","King Of Spades","Salisbury","6","11/4","2.75","3.77","3.70","-1.86","700.00","18467.64","16.60","4.50","3.25","3.75","1.53","Turf"
"13/08/2016","14:55","Madam Dancealot","Ripon","2","7/2","3.50","5.40","2.02","-62.59","1000.00","18418.52","8.05","7.00","4.33","4.50","2.66","Turf"
"15/08/2016","17:30","Sun Angel","Windsor","2","7/4","1.75","3.20","1.35","-57.81","1000.00","31150.00","4.50","3.50","3.25","3.00","1.30","Turf"
"18/08/2016","16:20","Tiptree","York","8","8/1","8.00","10.11","2.96","-70.72","1000.00","9791.20","2.10","7.00","8.00","7.50","2.80","Turf"
"19/08/2016","19:20","Ballyanna","Wolverhampton","1","4/1","4.00","5.33","1.01","-81.05","5.60","5.07","6.00","6.00","8.00","7.00","1.77","A/W"
"21/08/2016","14:15","Ambiguity","Curragh","4","11/8","1.38","2.46","1.50","-39.02","1000.00","40550.41","11.00","5.50","4.50","2.00","1.31","Turf"
"22/08/2016","14:00","Amelia Dream","Brighton","4","9/4","2.25","3.60","3.50","-2.78","1000.00","27677.78","3.85","2.20","2.25","2.25","1.50","Turf"
"24/08/2016","13:50","Ventura Secret","Catterick","2","9/1","9.00","11.97","8.80","-26.48","1000.00","8254.22","21.00","7.00","8.50","11.00","2.86","Turf"
"24/08/2016","17:30","Ana Aara","Bellewstown","6","18/1","18.00","30.00","21.00","-30.00","1000.00","3233.33","15.45","7.00","9.00","9.00","5.10","Turf"
"25/08/2016","14:30","Our Charlie Brown","Musselburgh","1","11/4","2.75","3.90","1.01","-74.10","4.20","7.69","5.80","5.50","9.00","7.50","1.79","Turf"
"26/08/2016","17:20","Myllachy","Hamilton","5","6/1","6.00","6.94","3.05","-56.05","1000.00","14309.22","0.75","5.00","5.50","3.75","2.45","Turf"
"27/08/2016","18:35","Second Step","Windsor","3","7/4","1.75","2.93","2.02","-31.06","1000.00","34029.69","6.35","3.00","3.00","3.00","1.45","Turf"
"29/08/2016","15:55","Grand Coalition","Ripon","3","7/1","7.00","10.50","6.00","-42.86","1000.00","9423.81","9.00","7.00","6.00","7.00","3.65","Turf"
"03/09/2016","14:50","Jamesie","Navan","5","12/1","12.00","17.53","11.50","-34.40","1000.00","5604.51","7.00","6.00","12.00","12.00","6.78","Turf"
"03/09/2016","15:50","Ready To Roc","Navan","5","3/1","3.00","3.96","2.80","-29.29","1000.00","25152.53","4.85","3.50","5.00","6.00","2.08","Turf"
"03/09/2016","16:55","Wondersnevercease","Navan","3","7/2","3.50","4.73","2.74","-42.07","1000.00","21041.65","1.85","3.50","4.33","4.50","1.59","Turf"
