"Date","Time","Horse","Course","Fin Pos","SP","SP Num","BSP","IR Low","%DiffLOW","IR High","%DiffHIGH","LTO Distance To Winner (Same Code)","Evening Price","Breakfast Price","Morning Price","BFPlaceSP","Race Type"
"13/05/2016","17:00","Secret Art","Newmarket","7","9/2","4.50","6.42","4.00","-37.69","1000.00","15476.32","3.20","5.00","5.50","6.00","2.26","Turf"
"13/05/2016","19:25","Sir Chauvelin","Hamilton","1","7/1","7.00","9.58","1.01","-89.46","19.00","98.33","0.00","9.00","8.50","7.50","2.38","Turf"
"14/05/2016","14:15","Bahamian Sunshine","Thirsk","5","6/1","6.00","7.72","2.02","-73.83","1000.00","12853.37","0.00","11.00","13.00","8.00","2.29","Turf"
"14/05/2016","17:45","Racing Knight","Doncaster","13","16/1","16.00","26.76","17.50","-34.60","500.00","1768.46","11.50","15.00","26.00","26.00","5.51","Turf"
"14/05/2016","18:45","Lawless Louis","Doncaster","1","15/8","1.88","2.94","1.01","-65.65","3.85","30.95","6.75","4.00","3.50","3.50","1.46","Turf"
"15/05/2016","15:00","Areyoutheway","Ripon","3","7/2","3.50","5.16","4.80","-6.98","1000.00","19279.84","7.00","4.00","4.00","4.50","2.50","Turf"
"15/05/2016","15:35","Glenrowan Rose","Ripon","1","11/4","2.75","4.20","1.01","-75.95","44.00","947.62","0.00","5.00","4.50","5.00","1.75","Turf"
"15/05/2016","17:15","Pearl Noir","Ripon","1","13/2","6.50","8.60","1.01","-88.26","48.00","458.14","2.85","13.00","8.50","8.00","4.14","Turf"
"16/05/2016","14:40","Mister Sunshine","Brighton","1","8/13","0.61","1.66","1.01","-39.16","1.69","1.81","1.25","1.57","1.50","1.44","1.14","Turf"
"16/05/2016","16:20","Tommys Geal","Brighton","3","7/2","3.50","5.37","2.68","-50.09","1000.00","18521.97","0.00","4.50","5.00","4.00","1.84","Turf"
"16/05/2016","16:30","Dark Command","Redcar","4","3/1","3.00","4.91","2.20","-55.19","1000.00","20266.60","0.10","5.50","5.50","5.50","2.07","Turf"
"16/05/2016","17:05","Archimento","Redcar","2","1/2","0.50","1.57","1.30","-17.20","1000.00","63594.27","3.35","2.38","2.00","1.95","1.12","Turf"
"16/05/2016","17:35","Monsieur Glory","Redcar","1","8/1","8.00","12.50","1.01","-91.92","44.00","252.00","3.10","9.00","8.50","9.00","4.11","Turf"
"16/05/2016","18:10","Reign On","Leicester","1","3/1","3.00","4.65","1.01","-78.28","18.00","287.10","6.00","2.88","2.88","3.00","1.65","Turf"
"17/05/2016","17:55","More Spice","Nottingham","10","9/4","2.25","3.35","3.35","0.00","1000.00","29750.75","1.25","8.00","6.50","4.33","1.59","Turf"
"17/05/2016","18:20","The Moore Factor","Killarney","4","4/1","4.00","5.16","4.00","-22.48","1000.00","19279.84","0.00","4.00","4.00","3.50","1.83","Turf"
"17/05/2016","18:50","Multiviz","Killarney","5","16/1","16.00","27.00","8.20","-69.63","1000.00","3603.70","4.60","11.00","12.00","13.00","6.60","Turf"
"18/05/2016","13:30","Northern Thunder","Ayr","2","7/2","3.50","4.65","2.12","-54.41","1000.00","21405.38","5.00","6.50","7.00","6.00","2.33","Turf"
"18/05/2016","13:50","Pack It In","Bath","11","5/2","2.50","4.30","2.50","-41.86","1000.00","23155.81","0.00","7.00","5.50","4.33","1.88","Turf"
"18/05/2016","15:10","Funding Deficit","Ayr","4","4/1","4.00","6.10","3.10","-49.18","430.00","6949.18","0.00","6.00","6.50","7.00","2.72","Turf"
"18/05/2016","15:30","Sharjah","Bath","1","15/8","1.88","3.05","1.01","-66.89","12.00","293.44","8.20","7.00","8.50","3.25","1.45","Turf"
"18/05/2016","15:45","Nice Vintage","Ayr","1","3/1","3.00","4.30","1.01","-76.51","4.80","11.63","0.00","4.00","4.00","4.33","1.92","Turf"
"18/05/2016","16:55","Anonymous Lady","Ayr","1","3/1","3.00","4.14","1.01","-75.60","9.40","127.05","0.50","4.33","4.50","4.33","1.82","Turf"
"19/05/2016","13:50","Afandem","Goodwood","3","1/2","0.50","1.55","1.51","-2.58","1000.00","64416.13","0.00","2.38","1.83","1.83","1.09","Turf"
"19/05/2016","14:55","Rayvin Black","Goodwood","2","3/1","3.00","4.65","1.24","-73.33","1000.00","21405.38","0.00","4.00","3.50","3.25","1.85","Turf"
"19/05/2016","15:30","Bedrock","Goodwood","10","3/1","3.00","4.00","3.70","-7.50","1000.00","24900.00","0.95","7.00","6.00","4.00","1.81","Turf"
